id_case,activity,enabled_time,start_time,end_time,role,resource,wip_wait,wip_start,wip_end,wip_activity,ro_total,ro_single,queue,prefix,attribute_case,attribute_event
14,Activity F,2023-11-28 09:32:48.797292,2023-11-28 09:32:48.797292,2023-11-28 09:34:02.534097,R5,R5,2,2,2,1,[],1.0,73.73680459162063,"['Activity E', 'Activity F']",{},{}
15,Activity E,2023-11-28 09:34:02.534097,2023-11-28 09:34:02.534097,2023-11-28 09:34:47.540535,R5,R5,2,2,2,2,[],1.0,45.00643837211364,['Activity E'],{},{}
13,Activity E,2023-11-28 09:31:13.002393,2023-11-28 09:31:13.002393,2023-11-28 09:35:35.010339,R6,R6,2,2,2,1,[],1.0,262.0079454039757,['Activity E'],{},{}
15,Activity F,2023-11-28 09:34:47.540535,2023-11-28 09:34:47.540535,2023-11-28 09:36:10.371241,R5,R5,2,2,2,1,[],1.0,82.8307056645643,"['Activity E', 'Activity F']",{},{}
16,Activity E,2023-11-28 09:36:10.371241,2023-11-28 09:36:10.371241,2023-11-28 09:36:24.274732,R5,R5,2,2,2,1,[],1.0,13.903491342468781,['Activity E'],{},{}
13,Activity F,2023-11-28 09:35:35.010339,2023-11-28 09:35:35.010339,2023-11-28 09:36:58.000062,R6,R6,2,2,2,2,[],1.0,82.98972365412793,"['Activity E', 'Activity F']",{},{}
17,Activity E,2023-11-28 09:36:58.000062,2023-11-28 09:36:58.000062,2023-11-28 09:37:29.038538,R6,R6,2,2,2,1,[],1.0,31.03847517338541,['Activity E'],{},{}
16,Activity F,2023-11-28 09:36:24.274732,2023-11-28 09:36:24.274732,2023-11-28 09:37:33.819310,R5,R5,2,2,2,2,[],1.0,69.54457800665345,"['Activity E', 'Activity F']",{},{}
18,Activity E,2023-11-28 09:37:33.819310,2023-11-28 09:37:33.819310,2023-11-28 09:38:25.795130,R5,R5,2,2,2,1,[],1.0,51.97582021008377,['Activity E'],{},{}
17,Activity F,2023-11-28 09:37:29.038538,2023-11-28 09:37:29.038538,2023-11-28 09:39:09.896189,R6,R6,2,2,2,2,[],1.0,100.857651661968,"['Activity E', 'Activity F']",{},{}
