id_case,activity,enabled_time,start_time,end_time,role,resource,wip_wait,wip_start,wip_end,wip_activity,ro_total,ro_single,queue,prefix,attribute_case,attribute_event
16,Activity F,2023-11-28 09:24:54.405239,2023-11-28 09:24:54.405239,2023-11-28 09:25:23.830715,R5,R5,4,4,3,2,[],1.0,29.42547670566708,"['Activity E', 'Activity F']",{},{}
13,Activity F,2023-11-28 09:24:57.884186,2023-11-28 09:24:57.884186,2023-11-28 09:25:27.478329,R6,R6,3,3,2,2,[],1.0,29.594143575818418,"['Activity E', 'Activity F']",{},{}
17,Activity E,2023-11-28 09:25:27.478329,2023-11-28 09:25:27.478329,2023-11-28 09:25:38.351954,R6,R6,2,2,2,1,[],1.0,10.873624522028779,['Activity E'],{},{}
18,Activity E,2023-11-28 09:25:38.351954,2023-11-28 09:25:38.351954,2023-11-28 09:26:58.433343,R6,R6,3,3,3,1,[],1.0,80.08138888423625,['Activity E'],{},{}
19,Activity E,2023-11-28 09:26:58.433343,2023-11-28 09:26:58.433343,2023-11-28 09:27:44.272131,R6,R6,4,4,4,1,[],1.0,45.83878798649653,['Activity E'],{},{}
12,Activity F,2023-11-28 09:25:23.830715,2023-11-28 09:25:23.830715,2023-11-28 09:28:38.201937,R5,R5,2,2,5,2,[],1.0,194.37122128803955,"['Activity E', 'Activity F']",{},{}
20,Activity E,2023-11-28 09:27:44.272131,2023-11-28 09:27:44.272131,2023-11-28 09:28:57.873911,R6,R6,5,5,4,1,[],1.0,73.60178049636632,['Activity E'],{},{}
19,Activity F,2023-11-28 09:28:38.201937,2023-11-28 09:28:38.201937,2023-11-28 09:29:23.034942,R5,R5,4,4,5,1,[],1.0,44.83300574159001,"['Activity E', 'Activity F']",{},{}
20,Activity F,2023-11-28 09:29:23.034942,2023-11-28 09:29:23.034942,2023-11-28 09:30:17.672195,R5,R5,4,4,4,1,[],1.0,54.63725224918476,"['Activity E', 'Activity F']",{},{}
21,Activity E,2023-11-28 09:28:57.873911,2023-11-28 09:28:57.873911,2023-11-28 09:30:23.801747,R6,R6,5,5,3,1,[],1.0,85.92783577476955,['Activity E'],{},{}
21,Activity F,2023-11-28 09:30:23.801747,2023-11-28 09:30:23.801747,2023-11-28 09:33:47.957946,R6,R6,3,3,3,2,[],1.0,204.15619935367658,"['Activity E', 'Activity F']",{},{}
17,Activity F,2023-11-28 09:33:47.957946,2023-11-28 09:33:47.957946,2023-11-28 09:34:13.837260,R6,R6,2,2,2,2,[],1.0,25.87931344646356,"['Activity E', 'Activity F']",{},{}
