id_case,activity,enabled_time,start_time,end_time,role,resource,wip_wait,wip_start,wip_end,wip_activity,ro_total,ro_single,queue,prefix,attribute_case,attribute_event
34,Activity E,2023-11-28 09:33:24.883008,2023-11-28 09:33:24.883008,2023-11-28 09:34:24.989566,R6,R6,35,35,35,2,[],1.0,60.10655764661547,['Activity E'],{},{}
35,Activity E,2023-11-28 09:34:24.989566,2023-11-28 09:34:24.989566,2023-11-28 09:35:16.133405,R6,R6,36,36,36,2,[],1.0,51.14383951311417,['Activity E'],{},{}
36,Activity E,2023-11-28 09:35:16.133405,2023-11-28 09:35:16.133405,2023-11-28 09:36:42.347582,R6,R6,37,37,37,2,[],1.0,86.21417634696687,['Activity E'],{},{}
33,Activity E,2023-11-28 09:33:20.539576,2023-11-28 09:33:20.539576,2023-11-28 09:36:47.882828,R5,R5,34,34,38,2,[],1.0,207.3432524287149,['Activity E'],{},{}
38,Activity E,2023-11-28 09:36:47.882828,2023-11-28 09:36:47.882828,2023-11-28 09:38:09.354381,R5,R5,39,39,39,2,[],1.0,81.47155302115877,['Activity E'],{},{}
37,Activity E,2023-11-28 09:36:42.347582,2023-11-28 09:36:42.347582,2023-11-28 09:38:45.513359,R6,R6,38,38,40,2,[],1.0,123.16577745130057,['Activity E'],{},{}
40,Activity E,2023-11-28 09:38:45.513359,2023-11-28 09:38:45.513359,2023-11-28 09:39:45.354701,R6,R6,41,41,41,2,[],1.0,59.841341782053824,['Activity E'],{},{}
41,Activity E,2023-11-28 09:39:45.354701,2023-11-28 09:39:45.354701,2023-11-28 09:39:46.473124,R6,R6,42,42,42,2,[],1.0,1.1184233556173644,['Activity E'],{},{}
39,Activity E,2023-11-28 09:38:09.354381,2023-11-28 09:38:09.354381,2023-11-28 09:40:26.336214,R5,R5,40,40,43,2,[],1.0,136.98183335628613,['Activity E'],{},{}
43,Activity E,2023-11-28 09:40:26.336214,2023-11-28 09:40:26.336214,2023-11-28 09:41:01.335123,R5,R5,44,44,44,2,[],1.0,34.99890867793905,['Activity E'],{},{}
42,Activity E,2023-11-28 09:39:46.473124,2023-11-28 09:39:46.473124,2023-11-28 09:41:21.837186,R6,R6,43,43,45,2,[],1.0,95.36406211038799,['Activity E'],{},{}
44,Activity E,2023-11-28 09:41:01.335123,2023-11-28 09:41:01.335123,2023-11-28 09:41:24.492855,R5,R5,45,45,46,2,[],1.0,23.157731484387508,['Activity E'],{},{}
45,Activity E,2023-11-28 09:41:21.837186,2023-11-28 09:41:21.837186,2023-11-28 09:41:56.067417,R6,R6,46,46,47,2,[],1.0,34.23023057652018,['Activity E'],{},{}
46,Activity E,2023-11-28 09:41:24.492855,2023-11-28 09:41:24.492855,2023-11-28 09:43:06.259105,R5,R5,47,47,48,2,[],1.0,101.76625080808964,['Activity E'],{},{}
48,Activity E,2023-11-28 09:43:06.259105,2023-11-28 09:43:06.259105,2023-11-28 09:43:09.314865,R5,R5,49,49,49,2,[],1.0,3.055759573411674,['Activity E'],{},{}
49,Activity E,2023-11-28 09:43:09.314865,2023-11-28 09:43:09.314865,2023-11-28 09:44:23.163261,R5,R5,50,50,50,2,[],1.0,73.84839577679357,['Activity E'],{},{}
50,Activity E,2023-11-28 09:44:23.163261,2023-11-28 09:44:23.163261,2023-11-28 09:44:39.983649,R5,R5,51,51,51,2,[],1.0,16.820387801258487,['Activity E'],{},{}
51,Activity E,2023-11-28 09:44:39.983649,2023-11-28 09:44:39.983649,2023-11-28 09:44:54.886212,R5,R5,52,52,52,2,[],1.0,14.902563829523281,['Activity E'],{},{}
52,Activity E,2023-11-28 09:44:54.886212,2023-11-28 09:44:54.886212,2023-11-28 09:46:03.617520,R5,R5,53,53,53,2,[],1.0,68.73130784958711,['Activity E'],{},{}
53,Activity E,2023-11-28 09:46:03.617520,2023-11-28 09:46:03.617520,2023-11-28 09:47:29.557903,R5,R5,54,54,54,2,[],1.0,85.94038266159143,['Activity E'],{},{}
47,Activity E,2023-11-28 09:41:56.067417,2023-11-28 09:41:56.067417,2023-11-28 09:48:28.617294,R6,R6,48,48,55,2,[],1.0,392.5498765955936,['Activity E'],{},{}
55,Activity E,2023-11-28 09:48:28.617294,2023-11-28 09:48:28.617294,2023-11-28 09:50:37.737636,R6,R6,56,56,56,2,[],1.0,129.12034247925956,['Activity E'],{},{}
54,Activity E,2023-11-28 09:47:29.557903,2023-11-28 09:47:29.557903,2023-11-28 09:51:14.375430,R5,R5,55,55,57,2,[],1.0,224.81752744625655,['Activity E'],{},{}
56,Activity E,2023-11-28 09:50:37.737636,2023-11-28 09:50:37.737636,2023-11-28 09:52:10.977654,R6,R6,57,57,58,2,[],1.0,93.24001796571463,['Activity E'],{},{}
57,Activity E,2023-11-28 09:51:14.375430,2023-11-28 09:51:14.375430,2023-11-28 09:52:42.121725,R5,R5,58,58,59,2,[],1.0,87.7462946475608,['Activity E'],{},{}
58,Activity E,2023-11-28 09:52:10.977654,2023-11-28 09:52:10.977654,2023-11-28 09:53:01.964582,R6,R6,59,59,60,2,[],1.0,50.98692757155418,['Activity E'],{},{}
